document_id,clean_text,sentiment
doc1,bought comput look comput wife ssd least gb ram least processor also wife feel comfort work windowsthi one good balanc price spec look lot like macbook pro feel littl fragil mac also like one full keyboard includ number keypadth touchscreen thing like laptop someth feel useless doesnt respond well modern cellphon doesw look laptop ssd one also intern hdd tb use store data critic access someth nice found,positive
doc2,softwar develop use memori intens program need upgrad extrem happi machin second came box boot speed incred ssd time bootup complet second run data heavi node applic heavi develop server vscode spotifi tab googl chrome thing isnt even break sweat mention program im still use littl le half memori bare util cpu ton research absolut best bang buck could find would buy heartbeatonli flaw screen okay wasnt buy machin screen seen laptop price rang better displayswhi thing touchscreen liter need,positive
doc3,bought laptop person home use mainli internet search surf use microsoft offic mani hour machin yet bought configur extra ram ssd fast boot speedi quiet oper overal machin seem boot quick run fast one neg dell loud fan cycl optic drive wonder chip set gener enough heat make fan run,positive
doc4,came poorli pack usabl screen dark even highest set ten minut error messag hard drive need scan error scan complet show multipl system error ask replac day ago return approv still process daughter need laptop school noth spend,negative
doc5,purchas laptop collegebound engin student price good like dell anoth inspiron ssd one also hard drive surpris loud fan would still recommend laptop,positive
doc6,run realli fast turn back lit keyboard f nice screen plenti port dvd drive shut quick one silver instead black low heat comput nice size screen comfort,positive
doc7,great laptop fast quiet sure peopl say fan load cant hear anyth reason gave star phone dell two hour tri resolv hard drive issu tb show laptop sever transfer dell right person abl activ tb drive everyth el work order,positive
doc8,far look best laptop ever own fast use solid state drive o tb hdd storag descript say optic drive mine came dvdrw drive receiv wrong model neg c port small neg,positive
doc9,scam money dell dishonest incompet laptop pc manufactur whole world week id bought amazon fan start noisi could heard hous could stop way one month gone could longer return lemon call dell took pc chang fan surpris hour truck nois fan return even louder wanna throw bird window cur dell peopl thiev stolen hardearn money shame amazon take lemon back scam money may god annihil dell amazon,negative
doc10,look replac year old laptop seen better daysi look month add one list match dimens old laptop upgrad minu stuff dont need anymor like everyon el plea new laptop issu tag match softwar show call dell see issu agent inform laptop upgrad author vendor forgot updat tag show upgrad agent proceed tell upgrad bump cost unit higher base unit went dell websit price right got way paid complaint unit asid batteri life,positive
doc11,laptop month half love boot second multitask super fast simultan download sever file listen itun work spreadsheet didnt slow machin one bit load memori space although gener dont use touchscreen featur kind cool fingerprint reader work perfectli hard press find compar laptop anywher close price also bought laplink pcmover softwar amazon made fast seamless transfer,positive
doc12,wish didnt wast money buy budget acerasu model first rd laptop mani month final excel one,positive
doc13,boot time pretti long min moder usag start get respond error load time applic surprisingli long type keyboard laggi box would recommend laptop light surf streamingth seller awesom though would buy time,negative
doc14,bootup quit fast exce last laptop hand dont use touch screen didnt rate realli seem like overkil machin would given star rate except usb c connect go hook dock station didnt realiz capabl guess look closer user complain fan nois issu fan occasion even hear dell user mani year also sever brand laptop dell prefer laptop,positive
doc15,laptop feel cheap key super small backlight make hard see trackpad horribl flex hypersensit point almost unus set easi onboard dell ai assist fan bit loud per review machin run hot touchscreen actual decent work well speaker get buzzi even medium volum play music video yt due annoy trackpad poor sound qualiti sure keep return,neutral
doc16,liter thing would say laptop wish touchscreen littl respons dont get wrong still great touchscreen wish regist touch littl accur laptop super fast havent issu littl hesit dell thought game brand like asu might better construct go forward definit consid dell best laptop ive own far,positive
doc17,speed ok screen lower end qualiti bad contrast wash receiv use unit new list laptop work correctli updat appli perhap like new descript,neutral
doc18,alreadi issu requir repair beyond inhous guy,negative
doc19,laptop ok price lack usbc problem especi power connector broken sure adapt board case expect better dell close hp qualiti compliment,negative
doc20,laptop randomli shut would restart work fine otherwis final enough contact dell warranti expir februari purchas oct promis brand new laptop someon use reject,negative
doc21,give sister cook clean take trash love facebook new laptop bought laptop spec laptop gobb memori enough hard drive space million pictur hope like im pretti sure love,positive
doc22,far week use love laptop spent lot time research get laptop within budget ran realli well one check box speed memori sound screen great happi choic use person busi use,positive
doc23,sure time touch screen worthi extra cost,positive
doc24,thing dont like even turn keyboard light continu press difficult see charact key,neutral
doc25,order new recurv use one return,negative
doc26,overal good laptop casual use fan backlit keyboard difficult see key sometim would recommend laptop anyon look fast easi use solut shop read reasearch,positive
doc27,laptop use wife replac older dell inspiron laptop enjoy speed feel keyboard touchscreen display havent heard complaint prais,positive
doc28,review written non techi persongood memori well lit screen easi use use laptopfor email publish work well laptop isheavi might like carri laptopoften fine rare take desk athom thought price good capabilitiesit,positive
doc29,came even around pm thank usp still work scratch outsid use im greatli need good comput far work terrif fast touch screen cours doesnt realli use unless feel lazi use mous comput great plea amazon dell send brand new comput without scratch top would put star came brand new buyer bewar,positive
doc30,product arriv damag work seller refus fix replac blame damag bewar purchas brown box seller,negative
doc31,tri start comput first time said bootabl item go dellcomsupport find warranti expir jun order comput januari avoid product seller cost total rip,negative
doc32,absolut love,positive
doc33,light enough slightli overh first use speed great ssd fli right cant fault pc save belong camp doesnt understand need touch screen laptop think wast nonetheless dell deliv expect,positive
doc34,comput amaz processor fast yet reason price im happi,positive
doc35,work expect realli good valu laptop nd hd,positive
doc36,good laptop ecxept ethernet speed specif said gigabit ethernet port max mbp download spoke dell support tech tri everyth get mbp luck abl get wifi speed mbp still low base mbp internet servic,neutral
doc37,like din work right also receiv refund one month,negative
doc38,excel pc work perfectli fast worth money,positive
doc39,order laptop decemb daughter th birthday week stop work date back forth seller send inform ship back item get full refund dont wast money,negative
doc40,good still set,positive
doc41,ive use laptop week say met need far,positive
doc42,love,positive
doc43,laptop arriv time exactli advertis plan use write research code,positive
doc44,advertis quick connect via wifi,positive
doc45,wish would weight le surfac mous would feel smother fingerseveryth el fine thank,neutral
doc46,im happi perform,positive
doc47,usual wait awhil write review comput equip month issu perform expect,positive
doc48,purchas laptop proven everyth hope ive problem sinc arriv setup snap good technic advic son select came,positive
doc49,product use pacif personbusi use,positive
doc50,work great right box ad microsoft offic profession fast quiet respond fast,positive
doc51,meh,neutral
doc52,dell product top heep,positive
doc53,comput proven fast need setup easi move lighten speed,positive
doc54,bought grown child absolut love comput happi,positive
doc55,great littl comput,positive
doc56,ad offer new machin machin deliv use warranti expir dec two day,negative
doc57,good comput good price,positive
doc58,laptop amaz fast display good definit recommend student offic purpos,positive
doc59,use daughter go colleg work great,positive
doc60,work great far,positive
doc61,like nice touchscreen make comput faster,positive
doc62,person useit everyth look laptop,positive
doc63,nice laptop everyth need christma gift,positive
doc64,far love,positive
doc65,batteri run hour start use fulli charg,neutral
doc66,titl descript differ actual productless memori half hard drive,negative
